title,service_name,url,tags
Percentage of Residential Properties with Housing Violations (Excluding Vacants),Vio,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Vio/FeatureServer,housing| housing & development
Percent of Students that are African American (non-Hispanic),Aastud,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Aastud/FeatureServer,education
CityLimits,CityLimits,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/CityLimits/FeatureServer,geoloom
"Number of Common Assault Calls for Service per 1,000 Residents",Caslt,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Caslt/FeatureServer,crime| public safety
Percentage of Vacant Properties Owned by Baltimore City,Baltvac,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Baltvac/FeatureServer,housing
"Number of Historic Tax Credits per 1,000 Residential Units",Histax,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Histax/FeatureServer,housing
Affordability Index - Mortgage,Affordm,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Affordm/FeatureServer,housing
Percent Population Change from Last Census,Popchg,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Popchg/FeatureServer,census
Percentage of Housing Units that are Owner-Occupied,Ownroc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ownroc/FeatureServer,housing
Number of Public Murals,Murals,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Murals/FeatureServer,arts
Percentage of Properties Under Mortgage Foreclosure,Fore,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Fore/FeatureServer,housing
Mortality by Age (1-14 Years old),Mort14_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Mort14_/FeatureServer,health
Percent of Students that are Hispanic,Hstud,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hstud/FeatureServer,education
Total Number of Households,Hhs,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hhs/FeatureServer,census
"Part 1 Crime Rate per 1,000 Residents",Crime_Updated,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Crime_Updated/FeatureServer,crime
Community Statistical Areas (2000),Community_Statistical_Areas_2000,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Community_Statistical_Areas_2000/FeatureServer,boundaries|  community statistical areas|  csa|  bnia|  2000
"Number of Daily Bus Stop Loadings per 1,000 Residents",Busload,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Busload/FeatureServer,sustainability
"Domestic Violence Calls For Service per 1,000 Residents",Domvio,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Domvio/FeatureServer,crime
"Public Art per 1,000 Residents",Publart,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Publart/FeatureServer,arts
Number of Community Managed Open Spaces,Cmos,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Cmos/FeatureServer,sustainability
High School Completion Rate,Compl,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Compl/FeatureServer,education
"Rate of Street Light Outages per 1,000 Residents",Lights,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Lights/FeatureServer,crime
Percent of Employed Population with Travel Time to Work of 15-29 Minutes,Trav29_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav29_/FeatureServer,sustainability
Median Daily Water Consumption,Waterc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Waterc/FeatureServer,sustainability
Percent of Employed Residents who Work Outside the City,Wrkout,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Wrkout/FeatureServer,workforce
Percent of Adult Population on Parole/Probation,Prbprl,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Prbprl/FeatureServer,workforce
PSO_Part1Crime_2021,PSO_Part1Crime_2021,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/PSO_Part1Crime_2021/FeatureServer,pso
Percent Residential Properties that do Not Receive Mail,Nomail,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Nomail/FeatureServer,housing
GreenPatterns,GreenPatterns,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/GreenPatterns/FeatureServer,#Gardens|     #Baltimore|     tree plantings|     urban forest|     forest patches|     baltimore|     baltimore city|     Baltimore neighborhood indicators alliance|     bnia|     bniajfi|     cmos|     community managed open spaces|     development|     stormwater|     trees
"Percent of Households Earning 25,000 to 40,000",Hh40inc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hh40inc/FeatureServer,census
Percent of Population 18-24 Years old,Age24_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Age24_/FeatureServer,census
Number of Businesses with Under 50 Employees,Smlbus,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Smlbus/FeatureServer,workforce
Percent of Female-Headed Households with Children Under 18,Femhhs,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Femhhs/FeatureServer,census
"Teen Birth Rate per 1,000 Females (aged 15-19)",Teenbir,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Teenbir/FeatureServer,health
Total Number of Commercial Properties,Comprop,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Comprop/FeatureServer,workforce
Percent of Residences Heated by Electricity,Elheat,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Elheat/FeatureServer,sustainability
Percent Population 16-64 Unemployed and Looking for Work,Unempl,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Unempl/FeatureServer,workforce
Percentage of Residential Sales in Foreclosure (REO),Reosa,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Reosa/FeatureServer,housing|  housing & development
Number of Total Jobs Filled by Employees,Totjobs,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Totjobs/FeatureServer,workforce
Number of Students Ever Attended 6th - 8th Grade,Mattend,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Mattend/FeatureServer,education
Number of Students Officially Enrolled in 6th - 8th Grade,Menrol,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Menrol/FeatureServer,education
Community Statistical Areas (2010),Community_Statistical_Areas_2010,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Community_Statistical_Areas_2010/FeatureServer,boundaries|  community statistical areas|  csa|  bnia|  2010
Percent Population (Over the age of 18) Who Voted in the General Election,Voted,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Voted/FeatureServer,sustainability| 2010| 2012| 2014| 2016| 2018| 2020
Percent of Residents - Two or More Races (Non-Hispanic),P2more,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/P2more/FeatureServer,census
Infant Mortality Rate,Mort1_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Mort1_/FeatureServer,health
Percent of Population Under 5 Years old,Age5_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Age5_/FeatureServer,census
"Percent of Households Earning 60,000 to 75,000",Hh75inc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hh75inc/FeatureServer,census
Percent of Population that Carpool to Work,Carpool,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Carpool/FeatureServer,sustainability
Number of Students Ever Attended 9th - 12th Grade,Hsattend,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsattend/FeatureServer,education
PSO_VBN,PSO_VBN,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/PSO_VBN/FeatureServer,pso
Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),Neiind,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neiind/FeatureServer,workforce
"Percent of Commercial Properties with Rehab Permits Above 5,000",Crehab,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Crehab/FeatureServer,workforce
"Rate of Clogged Storm Drain Reports per 1,000 Residents",Clogged,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Clogged/FeatureServer,sustainability
Percent of Babies Born with a Satisfactory Birth Weight,Birthwt,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Birthwt/FeatureServer,health
Number of Homes Sold,Shomes,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Shomes/FeatureServer,housing
Percent of Residences Heated by Utility Gas,Heatgas,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Heatgas/FeatureServer,sustainability
